PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,WTT Youth Contender Varaždin 2021,WTT Youth Contender,69,Croatia,Varaždin,europe,southern europe,2021-09-04T00:00:00,2021-09-10T00:00:00,,0,,,2421,,,,,,,WTT Youth Series
,ITTF Fa20 Czech Para Open 2021,Para Open,54,Czechia,Ostrava ,europe,eastern europe,2021-07-01T00:00:00,2021-07-03T00:00:00,,0,,,2423,,,,,,,
,WTT Youth Contender Cairo 2021,WTT Youth Contender,69,Egypt,Cairo ,africa,north africa,2021-09-13T00:00:00,2021-09-19T00:00:00,,0,,157.0,2425,2021-09-13T00:00:00,2021-09-19T00:00:00,,,True,Cancelled,WTT Youth Series
,ITTF Fa20 Costa Brava Spanish Para Open 2021,Para Open,54,Spain,Platja d’Aro ,europe,southern europe,2021-10-14T00:00:00,2021-10-16T00:00:00,,0,,170.0,2427,2021-06-24T00:00:00,2021-06-26T00:00:00,2021-10-14T00:00:00,2021-10-16T00:00:00,True,Postponed,
,ITTF SQY French Para Open 2021,Para Open,54,France,Saint Quentin en Yvelines ,europe,western europe,2021-11-09T00:00:00,2021-11-11T00:00:00,,0,,,2429,,,,,,,
,WTT Youth Contender Accra 2021,WTT Youth Contender,69,Ghana,Accra,africa,west africa,2021-08-23T00:00:00,2021-08-29T00:00:00,,0,,160.0,2430,2021-08-23T00:00:00,2021-08-29T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Contender Hong Kong 2021,WTT Youth Contender,69,"Hong Kong, China",Hong Kong,asia,east asia,2021-11-01T00:00:00,2021-11-07T00:00:00,,,,173.0,2432,2021-11-01T00:00:00,2021-11-07T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Contender Assunción 2021,WTT Youth Contender,69,Paraguay,Assunción ,americas,south america,2021-09-27T00:00:00,2021-10-03T00:00:00,,0,,166.0,2441,2021-09-27T00:00:00,2021-10-03T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Star Contender,WTT Youth Star Contender,68,Portugal,,europe,southern europe,2021-08-10T00:00:00,2021-08-14T00:00:00,,5309,,162.0,2446,2021-08-10T00:00:00,2021-08-14T00:00:00,,,True,Cancelled,WTT Youth Series
,ITTF Fa40 Slovenia Para Open 2021,Para Open,54,Slovenia,Laško,europe,southern europe,2021-05-29T00:00:00,2021-06-01T00:00:00,,0,Dates TBC,152.0,2448,2021-05-29T00:00:00,2021-06-01T00:00:00,,,True,Postponed,
,Paralympic World Qualification Tournament,Paralympic Games,52,Slovenia,Laško,europe,southern europe,2021-06-03T00:00:00,2021-06-05T00:00:00,,0,,,2449,,,,,,,
,ITTF Fa40 Slovakia Para Open 2021,Para Open,54,Slovak Republic,Bratislava ,europe,eastern europe,2021-06-09T00:00:00,2021-06-12T00:00:00,,0,,167.0,2453,2021-06-09T00:00:00,2021-06-12T00:00:00,,,True,Cancelled,
,WTT Youth Contender Bangkok 2021,WTT Youth Contender,69,Thailand,Bangkok ,asia,south east asia,2021-09-13T00:00:00,2021-09-19T00:00:00,,0,,156.0,2456,2021-09-13T00:00:00,2021-09-19T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Contender Taipei 2021,WTT Youth Contender,69,Chinese Taipei,Taipei,asia,east asia,2021-08-23T00:00:00,2021-08-29T00:00:00,,0,,161.0,2458,2021-08-23T00:00:00,2021-08-29T00:00:00,,,True,Cancelled,WTT Youth Series
,WTT Youth Contender Vila Real 2021,WTT Youth Contender,69,Portugal,Vila Real ,europe,southern europe,2021-05-11T00:00:00,2021-05-17T00:00:00,,0,,,2462,,,,,,,WTT Youth Series
,WTT Youth Star Contender Tunis 2021,WTT Youth Star Contender,68,Tunisia,Radès,africa,north africa,2021-05-26T00:00:00,2021-05-30T00:00:00,,0,,,2465,,,,,,,WTT Youth Series
,WTT Youth Contender Havirov 2021,WTT Youth Contender,69,Czechia,Havirov,europe,eastern europe,2021-06-07T00:00:00,2021-06-13T00:00:00,,0,,,2466,,,,,,,WTT Youth Series
,WTT Youth Star Contender Otocec 2021 - Presented by I Feel Slovenia,WTT Youth Star Contender,68,Slovenia,Otocec,europe,southern europe,2021-06-15T00:00:00,2021-06-19T00:00:00,,0,,,2467,,,,,,,WTT Youth Series
,2021 ITTF African Championships,Continental Championships,79,Cameroon,Yaoundé,africa,central africa,2021-09-01T00:00:00,2021-09-07T00:00:00,,,,,2473,,,,,,,
,ITTF-ATTU Asian Table Tennis Championships,Continental Championships,79,Qatar,Doha ,asia,west asia,2021-09-28T00:00:00,2021-10-05T00:00:00,,5324,,,2474,,,,,,,
,First Commonwealth of Independent State Games,Other Events and Multi Sport Games,39,Russia,Kazan ,europe,eastern europe,2021-09-04T00:00:00,2021-09-11T00:00:00,,,,,2475,,,,,,,
,Cali 2021 Pan American Junior Games,Pan American Junior Games,51,Colombia,Cali ,americas,south america,2021-11-25T00:00:00,2021-12-05T00:00:00,,,,,2478,,,,,,,
,2021 ITTF Finlandia International Open,Other Events and Multi Sport Games,39,Finland,Lohja,europe,northern europe,2021-12-02T00:00:00,2021-12-05T00:00:00,,,,,2479,,,,,,,
,2021 ITTF Finlandia International Open,ITTF International Open,80,Finland,Lohja,europe,northern europe,2021-12-02T00:00:00,2021-12-05T00:00:00,,,,,2479,,,,,,,
,2021 ITTF Czech International Open,ITTF International Open,80,Czechia,Olomouc,europe,eastern europe,2021-08-21T00:00:00,2021-08-25T00:00:00,,,,,2480,,,,,,,
,2021 ITTF-Oceania Youth Championships,Youth Championships,33,New Zealand,Hamilton,oceania,australasia,2021-09-07T00:00:00,2021-09-09T00:00:00,,,Dates TBC,178.0,2481,2021-09-07T00:00:00,2021-09-09T00:00:00,,,True,Postponement,
,2021 ITTF-Oceania Youth Championships,Other Events and Multi Sport Games,39,New Zealand,Hamilton,oceania,australasia,2021-09-07T00:00:00,2021-09-09T00:00:00,,,Dates TBC,178.0,2481,2021-09-07T00:00:00,2021-09-09T00:00:00,,,True,Postponement,
,2021 ITTF-Oceania Cup and Pacific Cup,Youth Championships,33,New Zealand,Hamilton,oceania,australasia,2021-09-09T00:00:00,2021-09-10T00:00:00,,,Dates TBC,179.0,2482,2021-09-09T00:00:00,2021-09-10T00:00:00,,,True,Postponement,
,2021 ITTF-Oceania Cup and Pacific Cup,Continental Championships,79,New Zealand,Hamilton,oceania,australasia,2021-09-09T00:00:00,2021-09-10T00:00:00,,,Dates TBC,179.0,2482,2021-09-09T00:00:00,2021-09-10T00:00:00,,,True,Postponement,
,2021 ITTF Kazakhstan International Open,Other Events and Multi Sport Games,39,Kazakhstan,Karaganda,asia,middle asia,2021-09-15T00:00:00,2021-09-19T00:00:00,,,,,2484,,,,,,,
,2021 ITTF Kazakhstan International Open,Continental Championships,79,Kazakhstan,Karaganda,asia,middle asia,2021-09-15T00:00:00,2021-09-19T00:00:00,,,,,2484,,,,,,,
,2021 ITTF Kazakhstan International Open,Continental Championships,79,Kazakhstan,Karaganda,asia,middle asia,2021-09-15T00:00:00,2021-09-19T00:00:00,,,,,2484,,,,,,,
,2021 ITTF Kazakhstan International Open,ITTF International Open,80,Kazakhstan,Karaganda,asia,middle asia,2021-09-15T00:00:00,2021-09-19T00:00:00,,,,,2484,,,,,,,
,2021 Europe Youth Top-10,Continental,36,France,Tours,europe,western europe,2021-10-15T00:00:00,2021-10-17T00:00:00,,5333,,,2485,,,,,,,
