PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type
,ITTF Junior Circuit Premium Czech Junior and Cadet Open,World Junior Circuit,15,Czechia,Hodonin,europe,eastern europe,2019-02-13T00:00:00,2019-02-17T00:00:00,,5032,,,2048,,,,,,
,ITTF Junior Circuit Swedish Junior and Cadet Open,World Junior Circuit,15,Sweden,Orebro,europe,northern europe,2019-02-20T00:00:00,2019-02-24T00:00:00,,5033,,,2049,,,,,,
,ITTF Junior Circuit Chile Junior and Cadet Open,World Junior Circuit,15,Chile,Santiago,americas,south america,2019-03-20T00:00:00,2019-03-24T00:00:00,,5034,,,2050,,,,,,
,ITTF Junior Circuit Premium Italian Junior and Cadet Open,World Junior Circuit,15,Italy,Lignano,europe,southern europe,2019-03-20T00:00:00,2019-03-24T00:00:00,,5035,,,2051,,,,,,
,ITTF Junior Circuit Ghana Junior & Cadet Open,World Junior Circuit,15,Ghana,Accra,africa,west africa,2019-04-01T00:00:00,2019-04-05T00:00:00,,5036,,,2052,,,,,,
,ITTF Junior Circuit Premium French Junior and Cadet Open  Metz,World Junior Circuit,15,France,Metz,europe,western europe,2019-04-10T00:00:00,2019-04-14T00:00:00,,5037,,,2053,,,,,,
,ITTF Junior Circuit Premium Belgium Junior and Cadet Open,World Junior Circuit,15,Belgium,Spa,europe,western europe,2019-04-15T00:00:00,2019-04-19T00:00:00,,5038,,,2054,,,,,,
,ITTF Junior Circuit Australian Junior and Cadet Open,World Junior Circuit,15,Australia,Darwin,oceania,australasia,2019-04-28T00:00:00,2019-05-01T00:00:00,,5039,,,2055,,,,,,
,ITTF Junior Circuit Spanish Junior and Cadet Open,World Junior Circuit,15,Spain,Plata D'Aro,europe,southern europe,2019-05-01T00:00:00,2019-05-05T00:00:00,,5040,,,2056,,,,,,
,ITTF Junior Circuit Golden Thailand Junior and Cadet Open,World Junior Circuit,15,Thailand,Bangkok,asia,south east asia,2019-05-15T00:00:00,2019-05-19T00:00:00,,5041,,,2057,,,,,,
,ITTF Junior Circuit Premium Polish Junior and Cadet Open,World Junior Circuit,15,Poland,Wladyslawowo,europe,eastern europe,2019-05-22T00:00:00,2019-05-26T00:00:00,,5042,,,2058,,,,,,
,ITTF Junior Circuit Golden China Junior and Cadet Open,World Junior Circuit,15,China,Taicang,asia,east asia,2019-06-12T00:00:00,2019-06-16T00:00:00,,5043,,,2059,,,,,,
