eventId,documentCode,gameScores,resultsGameScores
2603,TTEMSINGLES-----------R64-002200----------,"6-11,3-11,3-11,2-11,0-0,0-0,0-0","6-11,3-11,3-11,2-11"
2603,TTEMSINGLES-----------R64-001000----------,"11-13,4-11,9-11,5-11,0-0,0-0,0-0","11-13,4-11,9-11,5-11"
2603,TTEWSINGLES-----------R32-000700----------,"9-11,11-6,11-5,11-4,11-7,0-0,0-0","9-11,11-6,11-5,11-4,11-7"
2603,TTEMSINGLES-----------8FNL000300----------,"11-7,18-16,12-10,11-9,0-0,0-0,0-0","11-7,18-16,12-10,11-9"
2603,TTEWSINGLES-----------8FNL000600----------,"6-11,9-11,14-12,8-11,6-11,0-0,0-0","6-11,9-11,14-12,8-11,6-11"
2603,TTEMSINGLES-----------R32-001500----------,"11-5,11-4,11-7,7-11,8-11,11-8,0-0","11-5,11-4,11-7,7-11,8-11,11-8"
2603,TTEWSINGLES-----------8FNL000800----------,"11-8,5-11,6-11,4-11,8-11,0-0,0-0","11-8,5-11,6-11,4-11,8-11"
2603,TTEWSINGLES-----------R32-001100----------,"9-11,6-11,9-11,7-11,0-0,0-0,0-0","9-11,6-11,9-11,7-11"
2603,TTEMSINGLES-----------R64-002900----------,"11-8,8-11,2-11,2-11,11-8,10-12,0-0","11-8,8-11,2-11,2-11,11-8,10-12"
2603,TTEWSINGLES-----------R32-000200----------,"11-9,10-12,4-11,5-11,12-10,10-12,0-0","11-9,10-12,4-11,5-11,12-10,10-12"
2603,TTEWSINGLES-----------QFNL000400----------,"5-11,3-11,0-11,8-11,0-0,0-0,0-0","5-11,3-11,0-11,8-11"
2603,TTEMSINGLES-----------8FNL000400----------,"11-3,5-11,6-11,3-11,8-11,0-0,0-0","11-3,5-11,6-11,3-11,8-11"
2603,TTEWSINGLES-----------SFNL000100----------,"11-6,11-8,11-8,11-2,0-0,0-0,0-0","11-6,11-8,11-8,11-2"
2603,TTEWSINGLES-----------R64-000400----------,"4-11,9-11,7-11,8-11,0-0,0-0,0-0","4-11,9-11,7-11,8-11"
2603,TTEWSINGLES-----------R32-000400----------,"3-11,11-9,8-11,9-11,11-5,13-15,0-0","3-11,11-9,8-11,9-11,11-5,13-15"
2603,TTEMSINGLES-----------R64-002600----------,"11-6,5-11,4-11,10-12,8-11,0-0,0-0","11-6,5-11,4-11,10-12,8-11"
2603,TTEMSINGLES-----------R64-002300----------,"8-11,12-10,8-11,10-12,5-11,0-0,0-0","8-11,12-10,8-11,10-12,5-11"
2603,TTEWSINGLES-----------R32-000800----------,"13-15,10-12,3-11,9-11,0-0,0-0,0-0","13-15,10-12,3-11,9-11"
2619,TTEMSINGLES-----------QFNL000400----------,,"11-7,11-7,9-11,8-11,11-8"
2627,TTEWSINGLES-----------8FNL000700----------,"11-9,9-11,11-8,11-5,0-0","11-9,9-11,11-7,11-5,0-0"
2487,TTEWSINGLES-----------8FNL000600----------,"11-9,11-8,13-11,0-0,0-0","11-9,11-6,13-11,0-0,0-0"
2606,TTEMSINGLES-----------8FNL000400----------,"2-11,6-11,11-5,11-0,11-0","2-11,6-11,2-11,0-0,0-0"
2794,TTEMSINGLES-----------R32-000700----------,,"11-7,8-11,5-11,5-11,0-0"
2794,TTEMSINGLES-----------R32-001500----------,,"8-11,11-6,11-9,11-8,0-0"
3175,TTEMSINGLES-----------QFNL000300----------,"11-6,13-11,11-4,0-0,0-0","11-6,13-11,0-0,0-0,0-0"
2521,TTEMSINGLES-----------R64-002100----------,"11-13,11-13,7-11,11-3,11-7,11-7,11-7","11-13,11-6,7-11,11-3,11-7,11-7,11-7"
2479,TTEMSINGLES-----------R64-001400----------,"11-8,7-11,5-11,11-9,0-11","8-11,11-7,11-5,11-9,0-0"
2479,TTEWSINGLES-----------R64-002300----------,"11-9,5-11,11-0,11-0,0-0","11-9,11-5,11-9,0-0,0-0"
2728,TTEMSINGLES-----------SFNL000100----------,,"8-11,11-7,5-11,8-11,8-11,0-0,0-0"
2704,TTEMSINGLES-----------GP07000300----------,"11-6,11-3,9-11,9-11,11-5","11-6,11-3,10-11,9-11,11-5"
2704,TTEWSINGLES-----------R64-000900----------,"11-8,9-11,11-9,8-11,7-11","10-0,9-11,11-9,8-11,7-11"
2704,TTEWSINGLES-----------8FNL000100----------,"11-6,11-6,11-3,0-0,0-0","10-6,11-6,11-3,0-0,0-0"
2704,TTEWSINGLES-----------8FNL000200----------,"11-4,7-11,11-1,11-6,0-0","11-4,7-11,9-1,11-6,0-0"
2704,TTEWSINGLES-----------R64-001000----------,"12-14,11-8,11-8,8-11,11-6","12-14,11-8,11-8,7-11,11-6"
2704,TTEWSINGLES-----------R64-000300----------,"7-11,13-11,11-9,3-11,8-11","7-11,13-11,11-6,3-11,8-11"
2670,TTEWSINGLES-----------SFNL000200----------,"6-11,1-11,1-11,8-11,0-0,0-0,0-0","6-11,0-11,1-11,8-11,0-0,0-0,0-0"
2670,TTEWSINGLES-----------SFNL000100----------,"11-2,11-3,11-3,11-0,0-0,0-0,0-0","11-2,11-3,11-0,11-0,0-0,0-0,0-0"
2670,TTEMSINGLES-----------34--000100----------,"11-9,11-8,11-7,11-9,0-0,0-0,0-0","11-9,11-8,11-4,11-9,0-0,0-0,0-0"
2883,TTEWSINGLES-----------R32-000500----------,,"9-11,11-13,10-12,0-0,0-0"
2693,TTEMSINGLES-----------RND1000300----------,"13-15,8-11,6-11,0-0,0-0","13-15,8-11,4-11,0-0,0-0"
2502,TTEMSINGLES-----------RND2001000----------,"9-11,6-11,8-11,0-0,0-0","9-9,6-11,8-11,0-0,0-0"
2699,TTEWSINGLES-----------8FNL000700----------,"11-6,4-11,12-10,11-8,0-0","11-6,3-11,12-10,11-8,0-0"
2592,TTEMSINGLES-----------R64-000100----------,,"10-12,11-5,6-11,11-3,11-2,11-6"
